epoch,step,train_loss_epoch,train_loss_step
0,49,,1.363730549812317
0,99,,1.399991750717163
0,149,,1.3177554607391357
0,199,,1.3052723407745361
0,249,,1.242434024810791
0,298,2.0957295894622803,
1,299,,1.2318072319030762
1,349,,1.1999670267105103
1,399,,1.2042644023895264
1,449,,1.1921396255493164
1,499,,1.2065973281860352
1,549,,1.2087066173553467
1,597,1.2019665241241455,
2,599,,1.165541172027588
2,649,,1.1626851558685303
2,699,,1.2193267345428467
2,749,,1.1778994798660278
2,799,,1.140623688697815
2,849,,1.1635305881500244
2,896,1.1636520624160767,
3,899,,1.1627702713012695
3,949,,1.1395541429519653
3,999,,1.1381351947784424
3,1049,,1.1462693214416504
3,1099,,1.1335668563842773
3,1149,,1.1210098266601562
3,1195,1.1435056924819946,
4,1199,,1.1685895919799805
4,1249,,1.1364598274230957
4,1299,,1.1185497045516968
4,1349,,1.1375012397766113
4,1399,,1.119417428970337
4,1449,,1.1148310899734497
4,1494,1.1264708042144775,
5,1499,,1.1163156032562256
5,1549,,1.1044410467147827
5,1599,,1.1107898950576782
5,1649,,1.119004249572754
5,1699,,1.1165766716003418
5,1749,,1.102384090423584
5,1793,1.1172258853912354,
6,1799,,1.105316162109375
6,1849,,1.1043404340744019
6,1899,,1.1162655353546143
6,1949,,1.1293929815292358
6,1999,,1.1153301000595093
6,2049,,1.1120100021362305
6,2092,1.108886957168579,
7,2099,,1.135448694229126
7,2149,,1.081678867340088
7,2199,,1.111040472984314
7,2249,,1.1189124584197998
7,2299,,1.1287579536437988
7,2349,,1.103162169456482
7,2391,1.1034597158432007,
8,2399,,1.112746238708496
8,2449,,1.0802081823349
8,2499,,1.086839199066162
8,2549,,1.0891220569610596
8,2599,,1.1052947044372559
8,2649,,1.0996458530426025
8,2690,1.0986677408218384,
9,2699,,1.070650339126587
9,2749,,0.9355499148368835
9,2799,,0.7601230144500732
9,2849,,0.7667957544326782
9,2899,,0.9216558933258057
9,2949,,0.6970654726028442
9,2989,0.8163471221923828,
10,2999,,0.7087668180465698
10,3049,,0.7557371854782104
10,3099,,0.6213788986206055
10,3149,,0.6808465123176575
10,3199,,0.7063101530075073
10,3249,,0.5748304128646851
10,3288,0.6696305871009827,
11,3299,,0.5740011930465698
11,3349,,0.6385113000869751
11,3399,,0.6051671504974365
11,3449,,0.5921884179115295
11,3499,,0.5587042570114136
11,3549,,0.5916473865509033
11,3587,0.6131888031959534,
12,3599,,0.5881097316741943
12,3649,,0.5777174234390259
12,3699,,0.55718994140625
12,3749,,0.4840376675128937
12,3799,,0.5539753437042236
