epoch,step,train_loss_epoch,train_loss_step
0,49,,7.27742338180542
0,99,,7.952287197113037
0,143,9.18930721282959,
1,149,,7.760034084320068
1,199,,6.816412448883057
1,249,,3.6777563095092773
1,287,7.571134090423584,
2,299,,10.48147201538086
2,349,,8.1266508102417
2,399,,9.097901344299316
2,431,6.797642707824707,
3,449,,5.465655326843262
3,499,,6.090574264526367
3,549,,5.505972862243652
3,575,5.97747278213501,
4,599,,7.113131046295166
4,649,,4.41459321975708
4,699,,5.625582218170166
4,719,5.562134742736816,
5,749,,6.343680381774902
5,799,,5.051098823547363
5,849,,4.534331321716309
5,863,4.999720573425293,
6,899,,3.6982216835021973
6,949,,4.046001434326172
6,999,,2.4647154808044434
6,1007,4.577914237976074,
7,1049,,4.556037902832031
7,1099,,2.7257919311523438
7,1149,,3.784532070159912
7,1151,4.162759304046631,
8,1199,,4.545079231262207
8,1249,,4.5912346839904785
8,1295,4.183572292327881,
9,1299,,3.354267120361328
9,1349,,4.270718097686768
9,1399,,3.6144585609436035
9,1439,3.9219350814819336,
10,1449,,2.9919142723083496
10,1499,,4.377377510070801
10,1549,,4.476433753967285
10,1583,3.701247215270996,
11,1599,,2.924961566925049
11,1649,,3.0591530799865723
11,1699,,4.501405715942383
11,1727,3.5682361125946045,
12,1749,,2.5154006481170654
12,1799,,3.5622670650482178
12,1849,,2.828054428100586
12,1871,3.390160083770752,
13,1899,,3.8619651794433594
13,1949,,4.41131591796875
13,1999,,0.8533811569213867
13,2015,3.529055118560791,
14,2049,,3.0442771911621094
14,2099,,2.267075538635254
14,2149,,1.469010353088379
14,2159,3.2259957790374756,
15,2199,,5.012684345245361
15,2249,,3.4700331687927246
15,2299,,3.291828155517578
15,2303,3.375985860824585,
16,2349,,4.050443649291992
16,2399,,3.7554938793182373
16,2447,2.8942816257476807,
17,2449,,2.242014169692993
17,2499,,4.158566951751709
17,2549,,4.042178630828857
17,2591,3.1711440086364746,
18,2599,,4.23306941986084
18,2649,,1.7019457817077637
18,2699,,1.5874521732330322
18,2735,3.048219680786133,
19,2749,,3.879696846008301
19,2799,,2.757697105407715
19,2849,,2.8021535873413086
19,2879,3.050981283187866,
20,2899,,1.7197997570037842
20,2949,,2.6666617393493652
20,2999,,3.3951497077941895
20,3023,3.0449445247650146,
21,3049,,3.5216004848480225
21,3099,,3.380784273147583
21,3149,,2.510164737701416
21,3167,2.9038302898406982,
