split,MSE,RMSE,MAE,R2,Pearson
validation,2.7451864751836412,1.6568604271886154,1.3135746439705007,0.6429389866706714,0.8332365896833949
target:UACC-257,2.8855092326023115,1.698678672557677,1.2385417366611473,0.5478068322871084,0.7643706978005536
