split,MSE,RMSE,MAE,R2,Pearson
validation,3.2193018676897958,1.7942413069845973,1.4347676288333895,0.5812717287216627,0.783640558878
target:UACC-257,2.8941132323897287,1.7012093440813594,1.2070196920767229,0.5464584845241158,0.7428136851959569
