Symbol
PPIC
CNOT2
KDM1A
RARS1
FAM98A
LYPLA1
EXOSC6
RHOT1
PSMD6
PELO
XPNPEP1
SUCLG1
CIAO2B
CAPZA2
RANBP1
GFM1
SLC25A3
RRP1
MAPRE1
SNX2
GOLGA3
ABCD3
RHOT2
ATP5MG
ITGAV
KGD4
CCDC86
PSMB2
HDGFL3
BAZ1B
ANP32E
G6PD
RABL3
TERF2IP
USP5
RPL13A
KARS1
RNASEH2C
UFL1
NVL
RTN3
ASCC2
GATAD2B
PFKP
PAFAH1B2
DIABLO
DDRGK1
SEPTIN9
FAHD2A
KRT1
CLIC4
MRPL39
BCAP31
PGLS
DIDO1
DNAJC19
CHERP
RAB10
RACK1
RAB2A
CHMP1B
FAM50A
FEN1
ARF4
TRAP1
DPY30
CIAO2A
POLD1
HSPA9
ALG1
UNC45A
SRPRB
MCM4
IMPDH1
PURB
TMEM230
TIA1
ERP29
AGK
CAPN1
RPL18
NUP214
KYAT3
PLOD1
CAPN2
ILK
SF3A2
PSPC1
TMA16
TOMM20
FTSJ3
SF3B4
IARS2
POLR2L
BRD4
SEC62
SDHB
SERBP1
BAG2
METTL16
PUM3
CHMP2B
CHAF1B
DR1
PNP
EMD
METAP1
PHGDH
EI24
DBI
CHAMP1
RIF1
AP2A2
NDUFAB1
RPL27A
NAA10
COASY
CRTAP
FLOT2
TUT4
OTUD6B
SQSTM1
NRAS
RAB15
STX18
GPATCH4
SSU72
TRA2B
RANBP3
KHK
DUT
TACO1
CLPX
DDX20
SYNCRIP
RPL37A
DNAAF5
GOPC
KRT8
HSPA13
ACO2
EHD4
SIN3A
EXOSC2
EIF3E
PARP1
CCS
CNDP2
TMUB1
DNAJC11
RPS27
GSR
DCAF7
NUMB
H2AC21
UTP18
PTBP1
UBA3
RPL6
AARSD1
YWHAE
HAGH
SNRPD2
RDH11
PPIG
TIMM13
TRMT1
BMS1
HMGN2
HAS1
PRMT1
POLR2B
UGDH
GPX1
PAK2
BLVRA
PRPF31
WDR82
STX8
MTX1
BRK1
UBA2
CNOT1
PTMA
UAP1
ATAD3A
CLPTM1
BAP18
RBM42
KHDRBS1
PUF60
HMGB2
AKAP12
WNK1
UTP14A
SEPHS1
PTCD3
CCAR1
SRSF6
WDR3
HK2
NCBP2
THOC1
PAXX
CHP1
PKN1
NDUFA10
SNRPA1
MTPN
SF3A1
JPT1
SMS
TOMM40
ACTR3
EIF4G1
KPNA7
SCCPDH
NDUFS5
ERP44
RAB21
LUC7L3
ZNF207
PODXL
RPL9P9
GLE1
TMED9
PGAM5
NOL10
AP3D1
HSPH1
CYCS
OGT
MMAB
POLD3
MRPL40
WDR36
TXN
FLNA
SLK
HNRNPDL
IST1
EEF1G
AP3S1
CTTN
NSA2
RPL31
POLDIP2
MAT2A
APMAP
MPRIP
RPS11
RPLP1
AK1
SHMT2
ATP1B3
PKN2
MOB4
PPIA
TMSB10
EEF1E1
MRPL13
RTCB
PEX19
PNO1
ERGIC1
PYCR2
FAM3C
RFC2
MRPS15
PPHLN1
MCTS1
RBM8A
DDX47
YWHAB
TRIM25
FXN
ALCAM
SFPQ
MRPL2
ERAL1
KRT10
UTP4
BNIP1
TFRC
ARPC2
MYG1
NDUFAF4
SRSF2
RPA3
COPA
FASTKD5
UTP15
GNAS
GIGYF2
MYDGF
TBCA
NOP58
XPO1
EIF3A
ALDH1B1
ECI1
PRDX5
HNRNPAB
SF3B1
COPS5
ARFGAP2
SMC4
NCL
CMPK1
IDH3G
UBE2O
GOT2
RHOA
LSM14A
GSTP1
KIF5B
NUP205
ZMYND8
EEF1B2
NIBAN2
SPIN1
TPT1
GFM2
DST
RRP9
RAP1A
IDE
PIH1D1
ZNF512
STRN
MRPL54
GANAB
RTF1
SEC23B
VAPA
XAB2
MYBBP1A
ATAD1
FUS
CIAPIN1
ATP6V1E1
PGM2
GDI1
SMNDC1
GBA1
PSMC2
CHMP6
PEF1
FKBP3
TOR1AIP1
PMPCB
FLNC
SLIRP
MATR3
RPL10
COX6B1
PHYKPL
NDUFB1
ATP6V1C1
ZMPSTE24
DARS2
QTRT2
NUTF2
NUP43
RMDN1
CPSF3
KLC1
SEC61G
ZC3H11A
MPHOSPH8
ILKAP
COA6
BANF1
KDM2A
CIAO1
IWS1
PCBD1
PCBP1
PIN1
ELOC
OLA1
CDC40
AK3
MRPL24
PSMA7
CD2BP2
PSMD3
ENDOD1
ZNF428
EIF2B3
CAST
NKRF
HDGF
SEC16A
ATAD2
ERLIN1
DDX52
HNRNPM
WRNIP1
RPS18
NIT2
DAP3
ZC3H13
SPAG9
MORF4L2
NOB1
ERGIC3
TCOF1
TARDBP
IDH3B
SLC7A5
PAFAH1B3
MTA1
CDK1
TIMM50
RDH13
ESD
BYSL
TWF1
TOMM6
SPEN
CEPT1
DPM1
VAT1
ITPA
VCL
DUSP3
MCM3
SEC13
SH3BGRL3
B3GAT3
SEC31A
ACADM
CHORDC1
CPSF4
SPCS2
SRRM1
TXLNA
IMPA1
COTL1
VASP
SSB
UBE2K
ANXA5
OXSR1
LSM3
EIF4G3
CLNS1A
PDXDC1
PDIA4
SMARCC1
RBM33
DDB1
APP
SND1
RBM4
STK26
UBE2N
PNKP
PNN
SORD
TIMM10B
NUDT19
DCAF13
CBFB
HARS2
EWSR1
ENY2
PMVK
CCT3
CALR
PLOD3
NELFA
PTBP2
TIMM10
SEPTIN2
ADISSP
SMU1
RFC1
EIF3C
SEC63
MRPS18B
SRSF11
ATG3
TSNAX
TSN
FTO
ALDH4A1
POLR2E
PPP5C
NOLC1
RPSA
TBC1D15
MRPS31
WDR46
MRPS23
AAAS
SART1
KATNAL2
PPID
RUVBL2
PCK2
NUP93
YME1L1
HACD3
TUBGCP2
NCBP1
LYRM4
WDR33
PSMA4
DDX27
NUP88
NLE1
CCT8
THOC7
UQCRQ
SLC12A9
ACAA2
SNRNP40
ARHGEF2
RPL18A
ATP5F1C
TUBB6
STAU1
ZNF706
GSN
ZPR1
Unnamed: 957
PAWR
DCTN3
HLA-B
ACSL4
ATP2B1
PDF
PALM2AKAP2
LMNB2
LSM2
MESD
FAHD1
MARS1
EIF2A
STK24
RBMX2
KRR1
CS
RALYL
GGCT
G3BP1
HARS1
GLB1
H3-7
RPS20
CSTF1
EEF1D
ALDH2
DDX1
GSTO1
MYO18A
RMDN3
CCDC167
MMUT
MRPS18C
GPKOW
PLP2
APOE
SLC25A24
GNS
ECPAS
HIP1R
REXO4
CRKL
HINT2
LAMTOR3
CDC37
DDX18
TOM1
DNM1L
HNRNPC
SYNJ2BP
