epoch,step,train_loss_epoch,train_loss_step
0,49,,1.4224462509155273
0,99,,1.3442153930664062
0,149,,1.280304193496704
0,199,,1.3036770820617676
0,249,,1.2376835346221924
0,298,2.125335693359375,
1,299,,1.1953221559524536
1,349,,1.1888221502304077
1,399,,1.2129377126693726
1,449,,1.2091642618179321
1,499,,1.2305183410644531
1,549,,1.1996313333511353
1,597,1.1897379159927368,
2,599,,1.1495132446289062
2,649,,1.2000117301940918
2,699,,1.1484439373016357
2,749,,1.1456373929977417
2,799,,1.1373542547225952
2,849,,1.127958059310913
2,896,1.1503822803497314,
3,899,,1.158501148223877
3,949,,1.1315081119537354
3,999,,1.153780460357666
3,1049,,1.1208703517913818
3,1099,,1.1322063207626343
3,1149,,1.0965487957000732
3,1195,1.1284677982330322,
4,1199,,1.1174163818359375
4,1249,,1.1052825450897217
4,1299,,1.1431915760040283
4,1349,,1.0956168174743652
4,1399,,1.1587450504302979
4,1449,,1.1008751392364502
4,1494,1.1162405014038086,
5,1499,,1.1328359842300415
5,1549,,1.1067196130752563
5,1599,,1.0931830406188965
5,1649,,1.0966483354568481
5,1699,,1.0990443229675293
5,1749,,1.1309096813201904
5,1793,1.1066474914550781,
6,1799,,1.1095166206359863
6,1849,,1.090032935142517
6,1899,,1.1347112655639648
6,1949,,1.0850435495376587
6,1999,,1.0944000482559204
6,2049,,1.1201064586639404
6,2092,1.1006875038146973,
7,2099,,1.0780115127563477
7,2149,,1.1107780933380127
7,2199,,1.0904576778411865
7,2249,,1.0968453884124756
7,2299,,1.1101436614990234
7,2349,,1.1039514541625977
7,2391,1.0941214561462402,
8,2399,,1.102432370185852
8,2449,,1.1023826599121094
8,2499,,1.0907793045043945
8,2549,,1.0869581699371338
8,2599,,1.0881898403167725
8,2649,,1.0828348398208618
8,2690,1.0746073722839355,
9,2699,,0.7972580790519714
9,2749,,0.8478302955627441
9,2799,,0.8277630805969238
9,2849,,0.7594266533851624
9,2899,,0.7351840734481812
9,2949,,0.6243782639503479
9,2989,0.7507613897323608,
10,2999,,0.6370412111282349
10,3049,,0.7489019632339478
10,3099,,0.696660041809082
10,3149,,0.6940053105354309
10,3199,,0.5677579045295715
10,3249,,0.6724817156791687
10,3288,0.6267831325531006,
11,3299,,0.7082116007804871
11,3349,,0.6614543795585632
11,3399,,0.6699892282485962
11,3449,,0.5947147607803345
11,3499,,0.5926942825317383
11,3549,,0.6208556890487671
11,3587,0.559828519821167,
12,3599,,0.4524889290332794
12,3649,,0.5002941489219666
12,3699,,0.5835508704185486
12,3749,,0.4126850664615631
12,3799,,0.5521989464759827
12,3849,,0.553333044052124
12,3886,0.5172231197357178,
13,3899,,0.46635228395462036
13,3949,,0.4899080991744995
13,3999,,0.48605290055274963
13,4049,,0.4639551341533661
13,4099,,0.4454661011695862
13,4149,,0.5417155027389526
13,4185,0.4859427213668823,
14,4199,,0.3848513066768646
14,4249,,0.45865166187286377
14,4299,,0.40901124477386475
14,4349,,0.3638589382171631
14,4399,,0.4982193112373352
14,4449,,0.49302005767822266
14,4484,0.46378231048583984,
15,4499,,0.41814741492271423
15,4549,,0.40015384554862976
15,4599,,0.41792815923690796
15,4649,,0.45800790190696716
15,4699,,0.38030004501342773
15,4749,,0.5118573904037476
15,4783,0.44023820757865906,
16,4799,,0.37906408309936523
16,4849,,0.40287888050079346
16,4899,,0.41462594270706177
16,4949,,0.3594453036785126
16,4999,,0.37264418601989746
16,5049,,0.42795050144195557
16,5082,0.4202982783317566,
17,5099,,0.25664758682250977
17,5149,,0.3512934446334839
17,5199,,0.3778756558895111
17,5249,,0.5061025619506836
17,5299,,0.518243670463562
17,5349,,0.32353758811950684
17,5381,0.399417906999588,
18,5399,,0.34586817026138306
18,5449,,0.41150975227355957
18,5499,,0.3805197477340698
18,5549,,0.3238959312438965
18,5599,,0.39420098066329956
18,5649,,0.43014636635780334
18,5680,0.3824126720428467,
19,5699,,0.4528402090072632
19,5749,,0.4201997220516205
19,5799,,0.383242130279541
19,5849,,0.3705136775970459
19,5899,,0.4354393184185028
19,5949,,0.3391742706298828
19,5979,0.3647885322570801,
20,5999,,0.4040828347206116
20,6049,,0.3999377489089966
20,6099,,0.3577902317047119
20,6149,,0.36143064498901367
20,6199,,0.3349825143814087
20,6249,,0.364365816116333
20,6278,0.34643879532814026,
21,6299,,0.3262506127357483
21,6349,,0.2443329244852066
21,6399,,0.3552832007408142
21,6449,,0.3640506863594055
21,6499,,0.3680151402950287
21,6549,,0.40899452567100525
21,6577,0.3307989835739136,
22,6599,,0.3947497308254242
22,6649,,0.3827104866504669
22,6699,,0.22352151572704315
22,6749,,0.37583059072494507
22,6799,,0.29069066047668457
22,6849,,0.35835328698158264
22,6876,0.32012104988098145,
23,6899,,0.34079137444496155
23,6949,,0.37125885486602783
23,6999,,0.272083044052124
23,7049,,0.40407970547676086
23,7099,,0.27434003353118896
23,7149,,0.29491257667541504
23,7175,0.3043666183948517,
24,7199,,0.22437064349651337
24,7249,,0.2160559594631195
24,7299,,0.38825005292892456
24,7349,,0.29696670174598694
24,7399,,0.21611003577709198
24,7449,,0.30017057061195374
24,7474,0.2862672209739685,
25,7499,,0.2843189537525177
25,7549,,0.30546000599861145
25,7599,,0.20705902576446533
25,7649,,0.2988269627094269
25,7699,,0.34219563007354736
25,7749,,0.25964856147766113
25,7773,0.27319517731666565,
26,7799,,0.41040879487991333
26,7849,,0.283943772315979
26,7899,,0.25957801938056946
26,7949,,0.2082914263010025
26,7999,,0.231314554810524
26,8049,,0.3266233205795288
26,8072,0.263467401266098,
27,8099,,0.28522950410842896
27,8149,,0.21051782369613647
27,8199,,0.23163242638111115
27,8249,,0.22756794095039368
27,8299,,0.23983770608901978
27,8349,,0.2063344269990921
27,8371,0.24661293625831604,
28,8399,,0.2779065668582916
28,8449,,0.2105695903301239
28,8499,,0.3620656132698059
28,8549,,0.17656168341636658
28,8599,,0.26137468218803406
28,8649,,0.322385311126709
28,8670,0.2330770045518875,
29,8699,,0.11175112426280975
29,8749,,0.18529903888702393
29,8799,,0.1879637986421585
29,8849,,0.31704553961753845
29,8899,,0.17272011935710907
29,8949,,0.36986976861953735
29,8969,0.22244971990585327,
30,8999,,0.07652651518583298
